product_id,sku,title,brand,url,price_azn,old_price_azn,discount_azn,specs,category,category2,category3
118307,TM-DG-KOT-1114-NB-3271,Notbuk Apple MacBook Air 13 (M4) MC6V4RU/A Sky Blue,,https://mgstore.az/notbuk-apple-macbook-air-13-m4-mc6v4ru-a-sky-blue,3499.99,3999.99,500.0,"Prosessor: Apple M4, 4.41 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118305,TM-DG-KOT-1114-NB-3247,Notbuk Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition (21NX008NFW),,https://mgstore.az/notbuk-lenovo-thinkpad-x1-carbon-gen-13-aura-edition-21nx008nfw,4449.99,5999.99,1550.0,"Prosessor: Intel Core Ultra 7 255U, 2.4 - 5.2 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
117453,TM-DG-KOT-1114-NB-3242,Notbuk Asus TUF A16 FA608UM-RV053 (90NR0KV1-M005H0),,https://mgstore.az/notbuk-asus-tuf-gaming-a16-fa608um-rv053-90nr0kv1-m005h0,2899.99,3799.99,900.0,"Prosessor: AMD Ryzen 7 260, 3.8 - 5.1 GHz",Oyun notbukları,Notbuklar,Kompüterlər
116883,TM-DG-KOT-1114-NB-3233,Notbuk Asus TUF F16 FX608JHR-RV036 (90NR0NA1-M001T0),,https://mgstore.az/notbuk-asus-tuf-f16-fx608jhr-rv036-90nr0na1-m001t0,2849.99,3799.99,950.0,"Prosessor: Intel Core i7 14650HX, 2.2 - 5.2 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
115786,TM-DG-KOT-1114-NB-3223,Notbuk Apple MacBook Pro 14 MDE14RU/A Space Black,,https://mgstore.az/notbuk-apple-macbook-pro-14-mde14ru-a-space-black,4499.99,4999.99,500.0,Prosessor: Apple M5,Notbuklar,Kompüterlər,Notbuk və kompüterlər
115780,TM-DG-KOT-1114-NB-3216,Notbuk Lenovo IP Slim 3 15IRH8 (83K100RFRK),,https://mgstore.az/notbuk-lenovo-ip-slim-3-15irh8-83k100rfrk,1359.99,1799.99,440.0,"Prosessor: Intel Core i7 13620H, 3.6 - 4.9 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
112216,TM-DG-KOT-1114-NB-3161,Notbuk Acer Aspire Lite AL16-52P (NX.J5RER.001),,https://mgstore.az/notbuk-acer-aspire-lite-al16-52p-nx-j5rer-001,979.99,1299.99,320.0,"Prosessor: Intel Core i5 1334U, 0.9 - 4.6 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
110750,TM-DG-KOT-1114-NB-3133,Notbuk Asus TUF FA808UM-S8030 (90NR0NN1-M001M0),,https://mgstore.az/notbuk-asus-tuf-fa808um-s8030-90nr0nn1-m001m0,2929.99,3999.99,1070.0,"Prosessor: AMD Ryzen 7 260, 3.8 - 5.1 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
110748,TM-DG-KOT-1114-NB-3131,Notbuk Asus ROG G614FH-RV024 (90NR0L07-M000X0),,https://mgstore.az/notbuk-asus-rog-g614fh-rv024-90nr0l07-m000x0,3189.99,4299.99,1110.0,"Prosessor: AMD Ryzen 9 9955HX, 2.5 - 5.4 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
110435,TM-DG-KOT-1114-NB-3093,Notbuk Lenovo ThinkPad E16 Gen3 (21SR004SFW),,https://mgstore.az/notbuk-lenovo-thinkpad-e16-gen3-21sr004sfw,2899.99,3799.99,900.0,"Prosessor: Intel Core Ultra 7 255H, 2.0 - 5.1 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
108063,TM-DG-KOT-1114-NB-3013,Notbuk Asus ZenBook S 14 OLED UX5406SA-PZ365W (90NB14F4-M00MV0),,https://mgstore.az/notbuk-asus-zenbook-s-14-oled-ux5406sa-pz365w-90nb14f4-m00mv0,3789.99,4999.99,1210.0,"Prosessor: Intel Core Ultra 7 258V, 2.2 - 4.8 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
105894,TM-DG-KOT-1114-NB-2889,Notbuk Apple MacBook Air 13 M4 Starlight MW0Y3RU/A,,https://mgstore.az/notbuk-apple-macbook-air-13-m4-starlight-mw0y3ru-a,2499.99,2999.99,500.0,"Prosessor: Apple M4, 4.41 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
105085,TM-DG-KOT-1114-NB-2870,Notbuk Lenovo IdeaPad Slim 3 15IRH10 (83K10032RK),,https://mgstore.az/notbuk-lenovo-ideapad-slim-3-15irh10-83k10032rk,1399.99,1699.99,300.0,"Prosessor: Intel Core i7 13620H, 1.8 - 4.9 GHz",İş və təhsil üçün notbuklar,Notbuklar,Kompüterlər
119935,TM-DG-KOT-1114-NB-3402,Notbuk Asus VivoBook S16 OLED S3607CA-SH079 (90NB16I2-M00640),,https://mgstore.az/notbuk-asus-vivobook-s16-oled-s3607ca-sh079-90nb16i2-m00640,1979.99,2999.99,1020.0,"Prosessor: Intel Core Ultra 7 255H, 2.0 - 5.1 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119789,TM-DG-KOT-1114-NB-3432,Notbuk Lenovo ThinkPad X9-15 Gen 1 Aura Edition (21Q6001HRT),,https://mgstore.az/notbuk-lenovo-thinkpad-x9-15-gen-1-aura-edition-21q6001hrt,4349.99,5999.99,1650.0,"Prosessor: Intel Core Ultra 7 258V, 2.2 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119730,TM-DG-KOT-1114-NB-3426,Notbuk Asus ROG Strix G16 G615LR-S5192 (90NR0LR1-M007S0),,https://mgstore.az/notbuk-asus-rog-strix-g16-g615lr-s5192-90nr0lr1-m007s0,5449.99,7999.99,2550.0,Prosessor: Intel Core Ultra 9 275HX 2.7 - 5.4 GHz,Notbuklar,Kompüterlər,0_INDEFINITE
119577,TM-DG-KOT-1114-NB-3406,Notbuk Asus ExpertBook B3 B3605CCA-MB0080 (90NX08N1-M00340),,https://mgstore.az/notbuk-asus-expertbook-b3-b3605cca-mb0080-90nx08n1-m00340,1979.99,2999.99,1020.0,"Prosessor: Intel Core Ultra 7 255H, 2.0 - 5.1 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119507,TM-DG-KOT-1114-NB-3397,Notbuk Lenovo ThinkPad T14s Gen 6 (21QX001DRT),,https://mgstore.az/notbuk-lenovo-thinkpad-t14s-gen-6-21qx001drt,4299.99,6549.99,2250.0,"Prosessor: Intel Core Ultra 7 258V, 2.2 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119052,TM-DG-KOT-1114-NB-3384,Notbuk Lenovo ThinkPad X1 Carbon Gen 13 Aura Edtion (21NX00A7FW),,https://mgstore.az/notbuk-lenovo-thinkpad-x1-carbon-gen-13-aura-edtion-21nx00a7fw,4899.99,6699.99,1800.0,"Prosessor: Intel Core Ultra 7 255U, 2.4 - 5.2 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119048,TM-DG-KOT-1114-NB-3380,Notbuk Lenovo ThinkPad E14 Gen7 (21SX004UFW),,https://mgstore.az/notbuk-lenovo-thinkpad-e14-gen7-21sx004ufw,1949.99,2599.99,650.0,"Prosessor: Intel Core Ultra 5 225U, 2.4 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118354,TM-DG-KOT-1114-NB-3339,Notbuk HP ProBook 4 G1I 14 (AD2M0ET),,https://mgstore.az/notbuk-hp-probook-4-g1i-14-ad2m0et,1799.99,2399.99,600.0,"Prosessor: Intel Core Ultra 5 225U, 2.4 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118329,TM-DG-KOT-1114-NB-3298,Notbuk Asus VivoBook 17 X1704VA-AU1093 (90NB13X2-M00UH0),,https://mgstore.az/notbuk-asus-vivobook-17-x1704va-au1093-90nb13x2-m00uh0,1649.99,2249.99,600.0,"Prosessor: Intel Core i7 150U, 1.2 - 5.4 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118327,TM-DG-KOT-1114-NB-3295,Notbuk Asus VivoBook S16 S3607VA-RP096 (90NB1671-M007N0),,https://mgstore.az/notbuk-asus-vivobook-s16-s3607va-rp096-90nb1671-m007n0,1499.99,2099.99,600.0,"Prosessor: Intel Core 5 210H, 2.2 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118311,TM-DG-KOT-1114-NB-3275,Notbuk Acer Nitro V 15 ANV15-52-788T (NH.QV3EM.009),,https://mgstore.az/notbuk-acer-nitro-v-15-anv15-52-788t-nh-qv3em-009,1949.99,2549.99,600.0,"Prosessor: Intel Core i7 13620H, 1.8 - 4.9 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118308,TM-DG-KOT-1114-NB-3272,Notbuk Asus TUF A16 FA608PP-RV019 (90NR0MD1-M00360),,https://mgstore.az/notbuk-asus-tuf-a16-fa608pp-rv019-90nr0md1-m00360,3299.99,4399.99,1100.0,"Prosessor: AMD Ryzen 9 8940HX, 2.4 - 5.3 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
117057,TM-DG-KOT-1114-NB-3237,Notbuk Acer Nitro NL16-71G (NH.DAAER.002),,https://mgstore.az/notbuk-acer-nitro-nl16-71g-nh-daaer-002,1749.99,2299.99,550.0,"Prosessor: Intel Core i7 13620H, 1.8 - 4.9 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
113798,TM-DG-KOT-1114-NB-3170,Notbuk Lenovo Legion Pro 5 16IRX9 (83DF009KRK),,https://mgstore.az/notbuk-lenovo-legion-pro-5-16irx9-83df009krk,2599.99,3399.99,800.0,"Prosessor: Intel Core i5 14500HX, 1.9 - 4.9 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
105909,TM-DG-KOT-1114-NB-2883,Notbuk Apple MacBook Air 13 M4 Sky Blue MC6T4RU/A,,https://mgstore.az/notbuk-apple-macbook-air-13-m4-sky-blue-mc6t4ru-a,2499.99,2999.99,500.0,"Prosessor: Apple M4, 4.41 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
105545,TM-DG-KOT-1114-NB-2863,Notbuk Lenovo ThinkPad E14 Gen 6 (21M7002RRT),,https://mgstore.az/notbuk-lenovo-thinkpad-e14-gen-6-21m7002rrt,1849.99,2399.99,550.0,"Prosessor: Intel Core Ultra 5 125U, 0.8 - 4.3 GHz",İş və təhsil üçün notbuklar,Notbuklar,Kompüterlər
104388,TM-DG-KOT-1114-NB-2819,Notbuk Lenovo ThinkBook 2in1 (21MXA04HRU),,https://mgstore.az/notbuk-lenovo-thinkbook-2in1-21mxa04hru,2589.99,3299.99,710.0,Prosessor: Məlumat yoxdur,Notbuklar,Kompüterlər,Notbuk və kompüterlər
120116,TM-DG-KOT-1114-NB-3453,Notbuk HONOR MagicBook X16 (BRG-565),,https://mgstore.az/notbuk-honor-magicbook-x16-brg-565,1449.99,1649.99,200.0,"Prosessor: Intel Core i5 13420H, 1.5 - 4.6 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
120113,TM-DG-KOT-1114-NB-3450,Notbuk HONOR MagicBook X14 (GDG-X),,https://mgstore.az/notbuk-honor-magicbook-x14-gdg-x,1249.99,1499.99,250.0,"Prosessor: Intel Core i5 12450H, 1.5 - 4.4 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119936,TM-DG-KOT-1114-NB-3403,Notbuk Lenovo ThinkBook 16 G8 IALV (21SK007VRT),,https://mgstore.az/notbuk-lenovo-thinkbook-16-g8-ialv-21sk007vrt,1679.99,2199.99,520.0,"Prosessor: Intel Core Ultra 5 225U, 1.3 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119934,TM-DG-KOT-1114-NB-3401,Notbuk Asus VivoBook S16 OLED S3607CA-SH078 (90NB16I2-M00630),,https://mgstore.az/notbuk-asus-vivobook-s16-oled-s3607ca-sh078-90nb16i2-m00630,1679.99,2299.99,620.0,"Prosessor: Intel Core Ultra 5 225H, 1.7 - 4.9 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119734,TM-DG-KOT-1114-NB-3417,Notbuk MSI Cyborg 17 B13WGKG-237XAZ (9S7-17U332-237),,https://mgstore.az/notbuk-msi-cyborg-17-b13wgkg-237xaz-9s7-17u332-237,2999.99,4699.99,1700.0,"Prosessor: Intel Core i7 13620H, 1.8 - 4.9 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119045,TM-DG-KOT-1114-NB-3377,Notbuk Lenovo ThinkBook 16 G8 (21SH009GRT),,https://mgstore.az/notbuk-lenovo-thinkbook-16-g8-21sh009grt,1899.99,2499.99,600.0,"Prosessor: Intel Core i7 240H, 2.5 - 5.2 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118363,TM-DG-KOT-1114-NB-3362,Notbuk HP Victus 16-R1060CI (A9MX4EA),,https://mgstore.az/notbuk-hp-victus-16-r1060ci-a9mx4ea,3049.99,4149.99,1100.0,"Prosessor: Intel Core i5 14450HX, 1.8 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118355,TM-DG-KOT-1114-NB-3342,Notbuk HP 15-FD2010CI (C0EE7EA),,https://mgstore.az/notbuk-hp-15-fd2010ci-c0ee7ea,1899.99,2499.99,600.0,"Prosessor: Intel Core Ultra 7 255U, 2.4 - 5.2 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
118323,TM-DG-KOT-1114-NB-3290,Notbuk Asus VivoBook Go 15 E1504FA-BQ1086 (90NB0ZR1-M023C0),,https://mgstore.az/notbuk-asus-vivobook-go-15-e1504fa-bq1086-90nb0zr1-m023c0,1049.99,1499.99,450.0,"Prosessor: AMD Ryzen 5 7520U, 2.8 - 4.3 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
115787,TM-DG-KOT-1114-NB-3224,Notbuk Apple MacBook Pro 14 MDE64RU/A Silver,,https://mgstore.az/notbuk-apple-macbook-pro-14-mde64ru-a-silver,4999.99,5499.99,500.0,Prosessor: Apple M5,Notbuklar,Kompüterlər,Notbuk və kompüterlər
115651,TM-DG-KOT-1114-NB-3200,Notbuk HUAWEI MateBook D 16 (53014BUY) Space Gray,,https://mgstore.az/notbuk-huawei-matebook-d-16-53014buy-space-gray,1449.99,1799.99,350.0,"Prosessor: Intel Core i5 13420H, 1.5 - 4.6 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
110781,TM-DG-KOT-1114-NB-3134,Notbuk Asus VivoBook 15 X1504VA-BQ591 (90NB13Y2-M00X80),,https://mgstore.az/notbuk-asus-vivobook-15-x1504va-bq591-90nb13y2-m00x80,1149.99,1699.99,550.0,"Prosessor: Intel Core i5 120U, 1.4 - 5 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
107756,TM-DG-KOT-1114-NB-2958,Notbuk Lenovo ThinkBook 14 G8 IRL  (21SG008LRT),,https://mgstore.az/notbuk-thinkbook-14-g8-irl-21sg008lrt,1869.99,2369.99,500.0,"Prosessor: Intel Core i7 240H, 2.5 - 5.2 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
119938,TM-DG-KOT-1114-NB-3405,Notbuk Lenovo ThinkPad T14 G 6 (21QC006HFW),,https://mgstore.az/notbuk-lenovo-thinkpad-t14-g-6-21qc006hfw,3079.99,4599.99,1520.0,"Prosessor: Intel Core Ultra 7 255U, 1.7 - 5.2 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119937,TM-DG-KOT-1114-NB-3404,Notbuk Lenovo ThinkBook 16 G8 IAL (21SK007URT),,https://mgstore.az/notbuk-lenovo-thinkbook-16-g8-ial-21sk007urt,1979.99,2999.99,1020.0,"Prosessor: Intel Core Ultra 7 255H, 1.5-5.1 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119810,TM-DG-KOT-1114-NB-3434,Notbuk Asus ROG Strix G16 G614FM-S5076 (90NR0L17-M003E0),,https://mgstore.az/notbuk-asus-rog-strix-g16-g614fm-s5076-90nr0l17-m003e0,3749.99,5799.99,2050.0,"Prosessor: AMD Ryzen 9 9955HX, 2.5 - 5.4 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119599,TM-DG-KOT-1114-NB-3418,Notbuk Asus ZenBook 14 UM3406KA-QD130 (90NB14U1-M007L0),,https://mgstore.az/notbuk-asus-zenbook-14-um3406ka-qd130-90nb14u1-m007l0,2049.99,3099.99,1050.0,"Prosessor: AMD Ryzen AI 5 340, 2.0 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119581,TM-DG-KOT-1114-NB-3410,Notbuk Asus ExpertBook P1 P1503CVA-S72252 (90NX0881-M02W50),,https://mgstore.az/notbuk-asus-expertbook-p1-p1503cva-s72252-90nx0881-m02w50,1349.99,1869.99,520.0,"Prosessor: Intel Core i5 210H, 2.2 - 4.8 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119320,TM-DG-KOT-1114-NB-3392,Notbuk Asus ROG Strix G16 G614PH-RV044  (90NR0KX7-M003W0),,https://mgstore.az/notbuk-asus-rog-strix-g16-g614ph-rv044-90nr0kx7-m003w0,3199.99,4399.99,1200.0,"Prosessor: AMD Ryzen 9 8940HX, 2.4 - 5.3 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
119307,TM-DG-KOT-1114-NB-3297,Notbuk Asus VivoBook S E1504FA-BQ090 (90NB16F2-M009C0),,https://mgstore.az/notbuk-asus-vivobook-s-e1504fa-bq090-90nb16f2-m009c0,1449.99,1949.99,500.0,"Prosessor: AMD Ryzen 5 220, 3.2 - 4.9 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
