product_id,title,brand_id,url,price_azn,credit_price_azn,discount_percent,discount_amount_azn,monthly_6_azn,monthly_12_azn,monthly_18_azn,special_offers,position,data_filters
20260123041324264,LENOVO IPS3 15IRU8 i3-1315U/8/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123041324264-lenovo-ips3-15iru8-i3-1315u-8-256.html,849.0,949.0,11%,100.0,151.33,75.67,56.39,18 AY 0% | Endirimi 12 aya böl,0,3824 3832 3837 3841 3846 3849
20260123040731018,LENOVO IPS3 15IRU8 i3-1315U/8/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123040731018-lenovo-ips3-15iru8-i3-1315u-8-512.html,899.0,1099.0,18%,200.0,160.33,80.17,65.33,18 AY 0% | Endirimi 12 aya böl,1,3824 3832 3839 3841 3846 3849
20260123040030190,LENOVO IP1 15IRU7 i5-1335U/16/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123040030190-lenovo-ip1-15iru7-i5-1335u-16-256.html,1259.0,1499.0,16%,240.0,224.5,112.25,89.11,18 AY 0% | Endirimi 12 aya böl,2,3825 3834 3839 3841 3846 3849
20260123123316989,HP 15-fd0133wm i3-N305/8/256,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123123316989-hp-15-fd0133wm-i3-n305-8-256.html,849.0,999.0,15%,150.0,151.33,75.67,59.39,18 AY 0% | Endirimi 12 aya böl,3,3824 3832 3837 3841 3846 3849
20260123121928734,HP OmniBook 5 Flip 14-fp0023dx C7/16/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123121928734-hp-omnibook-5-flip-14-fp0023dx-c7-16-512.html,1999.0,2399.0,17%,400.0,356.5,178.25,142.61,18 AY 0% | Endirimi 12 aya böl,4,3834 3839 3841 3845 3849 3908
20260121042423443,ASUS Vivobook 15 F1504VA-BQ3662 i3-1315U/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260121042423443-asus-vivobook-15-f1504va-bq3662-i3-1315u-8-512.html,1079.0,1269.0,15%,190.0,192.5,96.25,75.44,18 AY 0% | Endirimi 12 aya böl,5,3824 3832 3839 3841 3846 3849
20260121041400194,ASUS Vivobook 16 F1605VA-WS74 i7-1355U/16/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260121041400194-asus-vivobook-16-f1605va-ws74-i7-1355u-16-512.html,1629.0,1829.0,11%,200.0,290.5,145.25,108.72,18 AY 0% | Endirimi 12 aya böl,6,3826 3834 3839 3841 3847 3849
20260121040933340,ACER Aspire GO 15-32P-39R2 C3/8/128,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260121040933340-acer-aspire-go-15-32p-39r2-c3-8-128.html,799.0,899.0,11%,100.0,142.5,71.25,53.44,18 AY 0% | Endirimi 12 aya böl,7,3832 3836 3841 3846 3849
20260121040327353,ACER Aspire Lite 15-72P-57JC i5-13500H/8/512,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260121040327353-acer-aspire-lite-15-72p-57jc-i5-13500h-8-512.html,1349.0,1579.0,15%,230.0,240.5,120.25,93.89,18 AY 0% | Endirimi 12 aya böl,8,3825 3832 3839 3841 3846 3849
20251129111732739,HP PAVILION 16-ag0070wm R7/8/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251129111732739-hp-pavilion-16-ag0070wm-r7-8-512.html,1559.0,1769.0,12%,210.0,278.0,139.0,105.17,18 AY 0% | Endirimi 12 aya böl,9,3830 3832 3839 3841 3847 3849
20251129111401203,ACER NITRO ANV15-51-73B9 i7/16/512,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251129111401203-acer-nitro-anv15-51-73b9-i7-16-512.html,2599.0,2899.0,10%,300.0,463.5,231.75,172.33,18 AY 0% | Endirimi 12 aya böl,10,3826 3834 3839 3841 3846 3849
20251129110935575,ASUS Vivobook 15 A1504VA-NJ1976 i5/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251129110935575-asus-vivobook-15-a1504va-nj1976-i5-8-512.html,1359.0,1599.0,15%,240.0,242.33,121.17,95.06,18 AY 0% | Endirimi 12 aya böl,11,3825 3832 3839 3841 3846 3849
20251128033554989,ASUS Vivobook 15 A1502VA-NJ1304 i7/16/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128033554989-asus-vivobook-15-a1502va-nj1304-i7-16-512.html,1599.0,1799.0,11%,200.0,285.17,142.58,106.94,18 AY 0% | Endirimi 12 aya böl,12,3826 3834 3839 3841 3846 3849
20251128032954683,LENOVO LOQ 15IAX9E i7/16/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128032954683-lenovo-loq-15iax9e-i7-16-512.html,2749.0,3099.0,11%,350.0,490.17,245.08,184.22,18 AY 0% | Endirimi 12 aya böl,13,3826 3834 3839 3841 3846 3849
20251128032218824,HP VICTUS 15-fa2082wm i5/16/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128032218824-hp-victus-15-fa2082wm-i5-16-512.html,2499.0,2799.0,11%,300.0,445.67,222.83,166.39,18 AY 0% | Endirimi 12 aya böl,14,3825 3834 3839 3841 3846 3849
20251128030610778,HP 15-fd0250wm i5/8/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128030610778-hp-15-fd0250wm-i5-8-512.html,1249.0,1499.0,17%,250.0,222.67,111.33,89.11,18 AY 0% | Endirimi 12 aya böl,15,3825 3832 3839 3841 3846 3849
20251128025732812,HP PROBOOK 450 G10 i7/16/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128025732812-hp-probook-450-g10-i7-16-512.html,2439.0,2809.0,13%,370.0,435.0,217.5,167.0,18 AY 0% | Endirimi 12 aya böl,16,3826 3834 3839 3841 3846 3849
20250929122751272,HP 250 G10 i5-1334U/8GB/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929122751272-hp-250-g10-i5-1334u-8gb-512.html,1199.0,1439.0,17%,240.0,213.83,106.92,85.56,18 AY 0% | Endirimi 12 aya böl,17,3824 3832 3839 3841 3846 3849
20250929122327033,HP 250 G10 i3-1315U/8GB/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929122327033-hp-250-g10-i3-1315u-8gb-512.html,1099.0,1259.0,13%,160.0,196.0,98.0,74.83,18 AY 0% | Endirimi 12 aya böl,18,3824 3832 3839 3841 3846 3849
20250929122000481,LENOVO V15 G4 IRU i7-13620H/16/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929122000481-lenovo-v15-g4-iru-i7-13620h-16-512.html,1549.0,1739.0,11%,190.0,276.17,138.08,103.39,18 AY 0% | Endirimi 12 aya böl,19,3826 3834 3839 3841 3846 3849
20250929121112676,LENOVO IPS3 15IRH8 i7-13620H/16GB/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929121112676-lenovo-ips3-15irh8-i7-13620h-16gb-512.html,1549.0,1739.0,11%,190.0,276.17,138.08,103.39,18 AY 0% | Endirimi 12 aya böl,20,3826 3834 3839 3841 3846 3849
20250929120050373,ACER A325-53 i5-1334U/16/512,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929120050373-acer-a325-53-i5-1334u-16-512.html,1399.0,1629.0,14%,230.0,249.5,124.75,96.83,18 AY 0% | Endirimi 12 aya böl,21,3825 3834 3839 3841 3846 3849
20250929115649013,ASUS A1504VA-NJ539 i7-1355U/16/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929115649013-asus-a1504va-nj539-i7-1355u-16-512.html,1579.0,1779.0,11%,200.0,281.67,140.83,105.78,18 AY 0% | Endirimi 12 aya böl,22,3826 3834 3839 3841 3846 3849
20250929115137856,ASUS X1504VA-NJ379  i7-1355U/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929115137856-asus-x1504va-nj379-i7-1355u-8-512.html,1499.0,1679.0,11%,180.0,267.33,133.67,99.83,18 AY 0% | Endirimi 12 aya böl,23,3826 3832 3839 3841 3846 3849
20250804033815532,ACER A325-53 I3-1305U/8/512,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804033815532-acer-a325-53-i3-1305u-8-512.html,1099.0,1299.0,15%,200.0,196.0,98.0,77.22,18 AY 0% | Endirimi 12 aya böl,24,3824 3832 3839 3841 3846 3849
20250804033126516,LENOVO IP1 15IJL7 CEL-N4500/4/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804033126516-lenovo-ip1-15ijl7-cel-n4500-4-256.html,569.0,669.0,15%,100.0,101.5,50.75,39.78,18 AY 0% | Endirimi 12 aya böl,25,3822 3831 3837 3841 3846 3849
20250804024520125,LENOVO V15 G2 CEL-N4500/4/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804024520125-lenovo-v15-g2-cel-n4500-4-256.html,569.0,669.0,15%,100.0,101.5,50.75,39.78,18 AY 0% | Endirimi 12 aya böl,26,3822 3831 3837 3841 3846 3849
20250804023658807,ASUS M1605Y-MB345 R7-7730U/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804023658807-asus-m1605y-mb345-r7-7730u-8-512.html,1499.0,1759.0,15%,260.0,267.33,133.67,104.56,18 AY 0% | Endirimi 12 aya böl,27,3830 3832 3839 3841 3847 3849
20250804023129374,ASUS X1502VA-BQ530 I5-13420H/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804023129374-asus-x1502va-bq530-i5-13420h-8-512.html,1359.0,1599.0,15%,240.0,242.33,121.17,95.06,18 AY 0% | Endirimi 12 aya böl,28,3825 3832 3839 3841 3846 3849
20250804022044730,ASUS X1504VA-BQ-151 I3-1315U/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804022044730-asus-x1504va-bq-151-i3-1315u-8-512.html,1039.0,1229.0,15%,190.0,185.33,92.67,73.06,18 AY 0% | Endirimi 12 aya böl,29,3824 3832 3839 3841 3846 3849
20250804020528545,ASUS X1404V-NK468 I3-1315U/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804020528545-asus-x1404v-nk468-i3-1315u-8-512.html,1019.0,1199.0,15%,180.0,181.67,90.83,71.28,18 AY 0% | Endirimi 12 aya böl,30,3824 3832 3839 3841 3845 3849
20250804014836805,HP 250 G10 I5-1334U/8/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804014836805-hp-250-g10-i5-1334u-8-512.html,1199.0,1439.0,17%,240.0,213.83,106.92,85.56,18 AY 0% | Endirimi 12 aya böl,31,3825 3832 3839 3841 3846 3849
20250804125144252,HP VICTUS 15-fa2013dx I5-13420H/8/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804125144252-hp-victus-15-fa2013dx-i5-13420h-8-512.html,2099.0,2499.0,16%,400.0,374.33,187.17,148.56,18 AY 0% | Endirimi 12 aya böl,32,
20250804124613966,ACER NITRO ANV15-51-59RM I5-13420H/8/512,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804124613966-acer-nitro-anv15-51-59rm-i5-13420h-8-512.html,1999.0,2349.0,15%,350.0,356.5,178.25,139.61,18 AY 0% | Endirimi 12 aya böl,33,3825 3832 3839 3841 3846 3849
20250802124029900,LENOVO V15 G3 I7-1255U/16/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250802124029900-lenovo-v15-g3-i7-1255u-16-512.html,1429.0,1609.0,11%,180.0,254.83,127.42,95.67,18 AY 0% | Endirimi 12 aya böl,34,3826 3834 3839 3841 3846 3849
20250802123113422,LENOVO IPS3 15IRH8 I5-13420H/8/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250802123113422-lenovo-ips3-15irh8-i5-13420h-8-512.html,1299.0,1529.0,15%,230.0,231.67,115.83,90.89,18 AY 0% | Endirimi 12 aya böl,35,3825 3832 3839 3841 3846 3849
20250802120652352,LENOVO IP1 15IJL7 CEL-N4500/8/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250802120652352-lenovo-ip1-15ijl7-cel-n4500-8-256.html,619.0,729.0,15%,110.0,110.33,55.17,43.33,18 AY 0% | Endirimi 12 aya böl,36,3822 3832 3837 3841 3846 3849
20250609021857347,LENOVO IPS3 15IAN8 I3-N305/8/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250609021857347-lenovo-ips3-15ian8-i3-n305-8-256.html,799.0,899.0,11%,100.0,142.5,71.25,53.44,18 AY 0% | Endirimi 12 aya böl,37,3824 3832 3837 3841 3846 3849
20250418025334335,ASUS Zenbook Q415MA,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250418025334335-asus-zenbook-q415ma.html,1799.0,1949.0,8%,150.0,320.83,160.42,115.83,18 AY 0% | Endirimi 12 aya böl,38,3832 3839 3841 3845
20250418025055302,ASUS Vivobook 15 X1504VA-NJ1860,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250418025055302-asus-vivobook-15-x1504va-nj1860.html,1319.0,1559.0,15%,240.0,235.17,117.58,92.67,18 AY 0% | Endirimi 12 aya böl,39,3825 3832 3839 3841 3846
20250418115607447,HP ENVY x360 14-es1013dx,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250418115607447-hp-envy-x360-14-es1013dx.html,1689.0,1889.0,11%,200.0,301.17,150.58,112.28,18 AY 0% | Endirimi 12 aya böl,40,3825 3832 3839 3841 3845
20250418114136097,ACER Aspire Lite 16 52P-31UT,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250418114136097-acer-aspire-lite-16-52p-31ut.html,969.0,1069.0,9%,100.0,172.83,86.42,63.56,18 AY 0% | Endirimi 12 aya böl,41,3824 3832 3837 3841 3847
20250122043428576,Lenovo Ideapad 1 15IJL7,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122043428576-lenovo-ideapad-1-15ijl7.html,569.0,639.0,11%,70.0,101.5,50.75,38.0,18 AY 0% | Endirimi 12 aya böl,42,3822 3831 3837 3841 3846 3849
20250122041833012,Lenovo Ideapad 1 15IAU7,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122041833012-lenovo-ideapad-1-15iau7.html,1199.0,1339.0,10%,140.0,213.83,106.92,79.61,18 AY 0% | Endirimi 12 aya böl,43,3825 3832 3837 3841 3846 3849
20250122040129456,Lenovo Ideapad Slim 3 15IRU8,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122040129456-lenovo-ideapad-slim-3-15iru8.html,849.0,949.0,11%,100.0,151.33,75.67,56.39,18 AY 0% | Endirimi 12 aya böl,44,3824 3832 3837 3841 3846 3849
20250122035217473,Lenovo Ideapad Slim 3 15IRH8,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122035217473-lenovo-ideapad-slim-3-15irh8.html,1599.0,1799.0,11%,200.0,285.17,142.58,106.94,18 AY 0% | Endirimi 12 aya böl,45,3826 3834 3839 3841 3846 3849
20250122033343186,Acer Aspire Lite 16-52P-32E3,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122033343186-acer-aspire-lite-16-52p-32e3.html,1049.0,1179.0,11%,130.0,187.0,93.5,70.11,18 AY 0% | Endirimi 12 aya böl,46,3824 3832 3839 3841 3847 3849
20250122030438263,Acer Aspire A515-57-713N,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122030438263-acer-aspire-a515-57-713n.html,1599.0,1789.0,11%,190.0,285.17,142.58,106.33,18 AY 0% | Endirimi 12 aya böl,47,3826 3834 3839 3841 3846 3849
20250121124143120,Acer Aspire 5 A515-58M-53ES,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121124143120-acer-aspire-5-a515-58m-53es.html,1299.0,1529.0,15%,230.0,231.67,115.83,90.89,18 AY 0% | Endirimi 12 aya böl,48,3825 3832 3839 3841 3846 3849
20250121123648939,HP Pavilion 15-eg3148nia,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121123648939-hp-pavilion-15-eg3148nia.html,1659.0,1869.0,11%,210.0,295.83,147.92,111.11,18 AY 0% | Endirimi 12 aya böl,49,3825 3832 3839 3841 3846 3849
20250121123323962,Asus Vivobook 15 A1504VA-NJ536,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121123323962-asus-vivobook-15-a1504va-nj536.html,1549.0,1739.0,11%,190.0,276.17,138.08,103.39,18 AY 0% | Endirimi 12 aya böl,50,3825 3834 3839 3841 3846
20250121122539295,Asus Vivobook 15 X1504VA-NJ104,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121122539295-asus-vivobook-15-x1504va-nj104.html,1279.0,1509.0,15%,230.0,228.17,114.08,89.72,18 AY 0% | Endirimi 12 aya böl,51,3825 3832 3839 3841 3846
20250121121635565,Asus Vivobook E1504GA-WS36,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121121635565-asus-vivobook-e1504ga-ws36.html,929.0,1079.0,14%,150.0,165.67,82.83,64.17,18 AY 0% | Endirimi 12 aya böl,52,3824 3832 3837 3841 3846
20241125042904687,LENOVO THINKPAD E16 G1,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125042904687-lenovo-thinkpad-e16-g1.html,2449.0,2649.0,8%,200.0,436.67,218.33,157.44,18 AY 0% | Endirimi 12 aya böl,53,3826 3834 3839 3841 3847 3849
20241125041229860,LENOVO V15 G3 - i5/8/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125041229860-lenovo-v15-g3-i5-8-512.html,1229.0,1449.0,15%,220.0,219.17,109.58,86.11,18 AY 0% | Endirimi 12 aya böl,54,3825 3832 3839 3841 3846 3849
20241125040431322,LENOVO IPS3 15IRU8,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125040431322-lenovo-ips3-15iru8.html,849.0,949.0,11%,100.0,151.33,75.67,56.39,18 AY 0% | Endirimi 12 aya böl,55,3824 3832 3837 3841 3846 3849
20241125035852832,LENOVO IP1 15IGL7,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125035852832-lenovo-ip1-15igl7.html,539.0,599.0,10%,60.0,96.17,48.08,35.61,18 AY 0% | Endirimi 12 aya böl,56,3822 3831 3837 3841 3846 3849
20241125035316781,HP 250 G10 - i5/8/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125035316781-hp-250-g10-i5-8-512.html,1199.0,1439.0,17%,240.0,213.83,106.92,85.56,18 AY 0% | Endirimi 12 aya böl,57,3825 3832 3839 3841 3846 3849
20241125024200581,ACER Aspire 3 A315-59-30Z5,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125024200581-acer-aspire-3-a315-59-30z5.html,949.0,1049.0,10%,100.0,169.17,84.58,62.33,18 AY 0% | Endirimi 12 aya böl,58,3824 3832 3839 3841 3846 3849
20241125023713965,ASUS Vivobook X1502ZA-EJ1429,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125023713965-asus-vivobook-x1502za-ej1429.html,1399.0,1579.0,11%,180.0,249.5,124.75,93.89,18 AY 0% | Endirimi 12 aya böl,59,3826 3832 3839 3841 3846 3849
20241125022429424,ASUS Vivobook X1504VA-NJ739,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125022429424-asus-vivobook-x1504va-nj739.html,1099.0,1229.0,11%,130.0,196.0,98.0,73.06,18 AY 0% | Endirimi 12 aya böl,60,3824 3832 3839 3841 3846 3849
20241125015318627,HP 250 G10 - i3/8/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125015318627-hp-250-g10-i3-8-512.html,1099.0,1259.0,13%,160.0,196.0,98.0,74.83,18 AY 0% | Endirimi 12 aya böl,61,3824 3832 3839 3841 3846 3849
20241122033053632,ASUS Vivobook X1502ZA-EJ2233,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122033053632-asus-vivobook-x1502za-ej2233.html,999.0,1119.0,11%,120.0,178.17,89.08,66.5,18 AY 0% | Endirimi 12 aya böl,62,3824 3832 3839 3841 3846 3849
20241122030804980,HP PROBOOK 450 G10 - i7/16/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122030804980-hp-probook-450-g10-i7-16-512.html,2439.0,2809.0,13%,370.0,435.0,217.5,167.0,18 AY 0% | Endirimi 12 aya böl,63,3826 3834 3839 3841 3846 3849
20241122024431042,HP PROBOOK 450 G10 - i5/16/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122024431042-hp-probook-450-g10-i5-16-512.html,1999.0,2299.0,13%,300.0,356.5,178.25,136.67,18 AY 0% | Endirimi 12 aya böl,64,3825 3834 3839 3841 3846 3849
20241122122518079,ACER Aspire 5 A515-58GM-5253,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122122518079-acer-aspire-5-a515-58gm-5253.html,2049.0,2359.0,13%,310.0,365.33,182.67,140.22,18 AY 0% | Endirimi 12 aya böl,65,3825 3834 3839 3841 3846 3850
20241122115006891,ACER Aspire 5 A515-57-77EA,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122115006891-acer-aspire-5-a515-57-77ea.html,1549.0,1789.0,13%,240.0,276.17,138.08,106.33,18 AY 0% | Endirimi 12 aya böl,66,3826 3832 3839 3841 3846 3849
20241122113854921,ACER Aspire 3 A315-59-58SS,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241122113854921-acer-aspire-3-a315-59-58ss.html,1289.0,1489.0,13%,200.0,229.83,114.92,88.5,18 AY 0% | Endirimi 12 aya böl,67,3825 3832 3839 3841 3846 3849
